,Lead Total After 1984 (ug/L),Cadmium Total (ug/L),Copper Total (ug/L),Nickel Total (ug/L),Chromium Total (ug/L),Copper Filtered (ug/L),Zinc Filtered (ug/L),Lead Filtered After 1984 (ug/L),Zinc Total (ug/L),Chromium Filtered (ug/L),Arsenic Total (ug/L),Nickel Filtered (ug/L),Cadmium Filtered (ug/L),"Iron, Total as Fe (ug/L)",COD as O2 (mg/L),Arsenic Filtered (ug/L),Silver Filtered (ug/L),Silver Total (ug/L),Selenium  Filtered (ug/L),Selenium  Total (ug/L),Nitrogen Kjeldahl Total (mg/L),"Iron, Filtered as Fe (ug/L)",Antimony  Filtered (ug/L),Beryllium Total (ug/L),Antimony  Total (ug/L),"Barium, total as Ba (ug/L)",Thallium Filtered (ug/L),Thallium Total (ug/L),pH,Ammonia (mg/L),Mercury Filtered (ug/L),Mercury Total (ug/L),Nitrogen_Nitrate (mg/L as N) ,Nitrogen_Nitrite (mg/L as N),TSS (mg/L),Turbidity_NTU,Phosphorous Total as P (mg/L),Total_Organic_Carbon_as_Carbon  (mg/L),TDS_mg/L,Conductivity (uS/cm @25ºC),"Alkalinity, total as CaCO3 (mg/L)",Phosphorous Filtered as P (mg/L),Chloride (mg/L),Beryllium Filtered (ug/L),Station_Name,year,date,NAME10
32,<5,<1,12,<5,13.9,<5,62,<5,112,<5,<5,<5,<1,711,23.5,<5,<1,<1,<5,<5,0.836,<100,<5,<1,<5,29,<5,<5,6.72,0.174,1.4,1.6,<0.1,0.043,28,11.5,0.16,5,50,76,16.5,0.15,6.87,,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-02-16,"Los Angeles--Long Beach--Anaheim, CA"
33,13.3,<1,21,<5,<5,6,102,<5,205,<5,<5,<5,<1,1200,64.9,<5,<1,<1,<5,<5,1.34,166,<5,<1,<5,30.7,<5,<5,6.66,0.289,<1,<1,0.68,0.084,44,32.8,,5.8,58,93,16.5,,10.4,,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-02-19,"Los Angeles--Long Beach--Anaheim, CA"
34,<5,1,15,<5,<5,<5,99,<5,147,<5,<5,<5,<1,721,17.3,<5,<1,<1,<5,<5,1.282,106,<5,<1,<5,25.6,<5,<5,6.52,0.178,<1,<1,<0.1,0.03,15,14.5,0.14,4.16,74,115,16.5,0.13,14.5,,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-02-21,"Los Angeles--Long Beach--Anaheim, CA"
35,<5,<1,20.8,7.3,<5,10.5,290,<5,302,<5,6,<5,<1,490,87.9,<5,<1,<1,<5,<5,2.86,130,<5,<1,<5,42.2,<5,<5,7.58,0.247,<1,<1,0.95,0.131,157,22.5,0.47,13.95,340,520,58.3,0.43,82,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-11-08,"Los Angeles--Long Beach--Anaheim, CA"
36,12.6,<1,46.3,<5,6.5,17.9,207,<5,332,<5,<5,<5,<1,1480,362,<5,<1,<1,<5,13.2,4.58,525,<5,<1,<5,102,<5,<5,7.68,0.719,<1,<1,0.598,0.132,80,36.3,0.66,21.28,454,720,122.0,0.49,73.3,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-11-28,"Los Angeles--Long Beach--Anaheim, CA"
37,<5,<1,38.7,<5,<5,22.7,210,<5,244,<5,<5,<5,<1,837,140,<5,<1,<1,<5,<5,8.28,213,<5,<1,<5,68.2,<5,<5,7.66,0.674,<1,<1,<0.1,0.212,148,88.8,0.64,39.3,514,876,86.9,0.49,195,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-12-01,"Los Angeles--Long Beach--Anaheim, CA"
38,<5,<1,17,5.6,<5,10.6,155,<5,156,<5,<5,5.4,<1,859,108,<5,2.1,2.7,<5,9.4,3.26,415,<5,<1,<5,<10,<5,<5,7.8,0.863,<1,<1,<0.1,0.158,35,16.2,0.49,11.9,510,834,138.0,0.36,81.9,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1998,1998-12-06,"Los Angeles--Long Beach--Anaheim, CA"
39,<5,<1,17.7,<5,<5,<5,172,<5,197,<5,<5,<5,<1,461,96.4,<5,<1,<1,<5,<5,4.78,147,<5,<1,<5,<10,<5,<5,7.54,0.586,<1,<1,0.182,0.203,67,23.9,0.82,15.28,360,566,90.1,0.66,72.2,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-01-20,"Los Angeles--Long Beach--Anaheim, CA"
40,<5,<1,22.8,<5,<5,22.6,200,<5,219,<5,<5,<5,<1,376,89.4,<5,<1,<1,<5,<5,3.5,<100,<5,<1,<5,65.6,<5,<5,7.22,2.275,<1,<1,0.924,0.13,73,40.7,0.28,9.6,262,422,55.0,0.22,60.7,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-01-25,"Los Angeles--Long Beach--Anaheim, CA"
41,8.9,<1,42.5,5.2,<5,42.5,414,8,414,<5,<5,<5,<1,476,217,<5,<1,<1,<5,<5,10.7,200,<5,<1,<5,89,<5,<5,7.6,6.78,<1,<1,0.581,0.289,82,56.1,0.69,19.7,676,1090,133.0,0.66,182,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-01-31,"Los Angeles--Long Beach--Anaheim, CA"
